dataset,model,method,val_mean_iou,val_pool_iou,val_mean_f1,test_mean_iou,test_pool_iou,test_mean_f1
indoorcd,siamese_pointnet,temperature_scaling,0.0772,0.0777,0.1223,0.1077,0.176,0.1661
indoorcd,siamese_pointnet,platt,0.0008,0.0026,0.0016,0.0081,0.0123,0.0139
indoorcd,siamese_pointnet,isotonic,0.0,0.0,0.0,0.0,0.0,0.0
indoorcd,siamese_pointnet,quantile_shrink,0.085,0.0878,0.1306,0.0994,0.1703,0.155
indoorcd,siamese_pointnet,otsu_cube,0.0302,0.0261,0.0554,0.0438,0.0503,0.0751
indoorcd,siamese_pointnet2,fixed_05,0.0975,0.0977,0.1594,0.1232,0.1724,0.1944
indoorcd,siamese_pointnet2,f1_optimal,0.146,0.2383,0.2185,0.1563,0.2547,0.2359
indoorcd,siamese_pointnet2,temperature_scaling,0.1459,0.2381,0.2184,0.1562,0.2548,0.2358
indoorcd,siamese_pointnet2,platt,0.0608,0.1233,0.0936,0.0686,0.086,0.0997
indoorcd,siamese_pointnet2,isotonic,0.0797,0.1524,0.1194,0.0802,0.1112,0.1181
indoorcd,siamese_pointnet2,quantile_shrink,0.1515,0.2511,0.2245,0.1588,0.2528,0.2369
indoorcd,siamese_pointnet2,otsu_cube,0.0669,0.056,0.1151,0.0806,0.0997,0.1343
indoorcd,siamgcn,fixed_05,0.0625,0.0602,0.106,0.081,0.1175,0.1321
indoorcd,siamgcn,f1_optimal,0.0851,0.1279,0.133,0.1185,0.1831,0.1816
indoorcd,siamgcn,temperature_scaling,0.0851,0.1296,0.1328,0.1186,0.1837,0.1819
indoorcd,siamgcn,platt,0.0125,0.0265,0.0195,0.0332,0.0538,0.0556
indoorcd,siamgcn,isotonic,0.0077,0.016,0.0128,0.021,0.0378,0.0355
indoorcd,siamgcn,quantile_shrink,0.0863,0.1312,0.1345,0.1196,0.1804,0.1839
indoorcd,siamgcn,otsu_cube,0.0331,0.0288,0.0601,0.0475,0.0558,0.0816
